dateTime,EDA_Pci_1,EDA_Pci_2,EDA_Pci_3,EDA_Pci_4,EDA_Pci_fq,EDA_Pci_fs,  EDA_ADtur, EDA_ADcer,EDA_DHlad, EDA_Pdg,EDA_Avyr_fs, EDA_Odtok,EDA_HHlad,EDA_Ndg_fs
'2021-09-01 00:10', -104.0, 0.0, 0.0, 0.0, 0.0, -104.0, 743.0, 1546.0, 299.0, -27.0, -8.0, 4.0, 378.0, -1.0
'2021-09-01 00:20', -104.0, 0.0, 0.0, 0.0, 0.0, -104.0, 772.0, 1515.0, 299.0, -30.0, -25.0, 4.0, 378.0, -1.0
'2021-09-01 00:30', -10.0, 0.0, 0.0, 0.0, 0.0, -10.0, 775.0, 1512.0, 299.0, -30.0, -36.0, 4.0, 378.0, -1.0
'2021-09-01 00:40', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 779.0, 1508.0, 299.0, -30.0, -36.0, 4.0, 378.0, -1.0
'2021-09-01 00:50', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 774.0, 1513.0, 299.0, -30.0, -36.0, 4.0, 378.0, -1.0
'2021-09-01 01:00', -1.0, 0.0, 0.0, 0.0, 0.0, -0.0, 776.0, 1510.0, 299.0, -30.0, -36.0, 4.0, 378.0, -1.0
'2021-09-01 01:10', -104.0, 0.0, 0.0, 0.0, 0.0, -104.0, 779.0, 1508.0, 299.0, -165.0, -11.0, 4.0, 378.0, -2.0
'2021-09-01 01:20', -104.0, 0.0, 0.0, 0.0, 0.0, -104.0, 800.0, 1485.0, 299.0, -180.0, -25.0, 4.0, 378.0, -2.0
'2021-09-01 01:30', -104.0, -34.0, 0.0, 0.0, 0.0, -138.0, 809.0, 1475.0, 299.0, -180.0, -43.0, 4.0, 378.0, -2.0
'2021-09-01 01:40', -104.0, -113.0, 0.0, 0.0, 0.0, -217.0, 833.0, 1451.0, 299.0, -180.0, -74.0, 4.0, 378.0, -2.0
'2021-09-01 01:50', -104.0, -113.0, 0.0, 0.0, 0.0, -217.0, 868.0, 1414.0, 298.0, -180.0, -111.0, 4.0, 378.0, -2.0
'2021-09-01 02:00', -104.0, -113.0, 0.0, 0.0, 0.0, -217.0, 885.0, 1395.0, 298.0, -180.0, -147.0, 4.0, 378.0, -2.0
'2021-09-01 02:10', -104.0, -113.0, 0.0, 0.0, 0.0, -217.0, 928.0, 1351.0, 298.0, -198.0, -33.0, 4.0, 378.0, -2.0
'2021-09-01 02:20', -104.0, -113.0, 0.0, 0.0, 0.0, -217.0, 943.0, 1335.0, 298.0, -200.0, -52.0, 4.0, 378.0, -2.0
'2021-09-01 02:30', -104.0, -113.0, 0.0, 0.0, 0.0, -217.0, 982.0, 1293.0, 298.0, -200.0, -89.0, 4.0, 378.0, -2.0
'2021-09-01 02:40', -104.0, -113.0, 0.0, 0.0, 0.0, -217.0, 1008.0, 1266.0, 298.0, -200.0, -125.0, 4.0, 378.0, -2.0
'2021-09-01 02:50', -104.0, -113.0, 0.0, 0.0, 0.0, -217.0, 1033.0, 1240.0, 297.0, -200.0, -161.0, 4.0, 378.0, -2.0
'2021-09-01 03:00', -103.0, -113.0, 0.0, 0.0, 0.0, -216.0, 1067.0, 1203.0, 297.0, -200.0, -197.0, 4.0, 378.0, -2.0
'2021-09-01 03:10', -103.0, -113.0, 0.0, 0.0, 0.0, -216.0, 1090.0, 1179.0, 297.0, -218.0, -38.0, 4.0, 378.0, -2.0
'2021-09-01 03:20', -103.0, -113.0, 0.0, 0.0, 0.0, -216.0, 1126.0, 1141.0, 297.0, -220.0, -52.0, 4.0, 378.0, -2.0
'2021-09-01 03:30', -103.0, -113.0, 0.0, 0.0, 0.0, -216.0, 1149.0, 1117.0, 297.0, -220.0, -88.0, 4.0, 378.0, -2.0
'2021-09-01 03:40', -103.0, -113.0, 0.0, 0.0, 0.0, -216.0, 1185.0, 1079.0, 297.0, -220.0, -124.0, 4.0, 378.0, -2.0
'2021-09-01 03:50', -103.0, -113.0, 0.0, 0.0, 0.0, -216.0, 1207.0, 1055.0, 296.0, -220.0, -160.0, 4.0, 378.0, -2.0
'2021-09-01 04:00', -103.0, -56.0, 0.0, 0.0, 0.0, -159.0, 1239.0, 1022.0, 296.0, -220.0, -194.0, 4.0, 378.0, -2.0
'2021-09-01 04:10', -103.0, 0.0, 0.0, 0.0, 0.0, -103.0, 1263.0, 997.0, 296.0, -121.0, -28.0, 4.0, 378.0, -1.0
'2021-09-01 04:20', -103.0, 0.0, 0.0, 0.0, 0.0, -103.0, 1263.0, 996.0, 296.0, -110.0, -25.0, 4.0, 378.0, -1.0
'2021-09-01 04:30', -103.0, 0.0, 0.0, 0.0, 0.0, -103.0, 1294.0, 963.0, 296.0, -110.0, -42.0, 4.0, 378.0, -1.0
'2021-09-01 04:40', -103.0, 0.0, 0.0, 0.0, 0.0, -103.0, 1297.0, 961.0, 296.0, -110.0, -59.0, 4.0, 378.0, -1.0
'2021-09-01 04:50', -103.0, 0.0, 0.0, 0.0, 0.0, -103.0, 1314.0, 942.0, 296.0, -110.0, -76.0, 4.0, 378.0, -1.0
'2021-09-01 05:00', -103.0, 0.0, 0.0, 0.0, 0.0, -103.0, 1332.0, 924.0, 296.0, -110.0, -93.0, 4.0, 378.0, -1.0
'2021-09-01 05:10', -41.0, 0.0, 0.0, 0.0, 0.0, -41.0, 1337.0, 918.0, 296.0, -56.0, -15.0, 4.0, 378.0, -1.0
'2021-09-01 05:20', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1352.0, 902.0, 296.0, -50.0, -6.0, 4.0, 378.0, -1.0
'2021-09-01 05:30', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1337.0, 919.0, 296.0, -50.0, -6.0, 4.0, 378.0, -1.0
'2021-09-01 05:40', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1353.0, 901.0, 296.0, -50.0, -6.0, 4.0, 378.0, -1.0
'2021-09-01 05:50', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1340.0, 915.0, 296.0, -50.0, -6.0, 4.0, 378.0, -1.0
'2021-09-01 06:00', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1345.0, 910.0, 296.0, -50.0, -6.0, 4.0, 378.0, -1.0
'2021-09-01 06:10', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1352.0, 902.0, 296.0, -5.0, -1.0, 4.0, 378.0, -0.0
'2021-09-01 06:20', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1339.0, 916.0, 296.0, 0.0, 0.0, 4.0, 378.0, 0.0
'2021-09-01 06:30', 56.0, 0.0, 0.0, 0.0, 0.0, 55.0, 1357.0, 898.0, 296.0, 0.0, 2.0, 4.0, 378.0, 0.0
'2021-09-01 06:40', 100.0, 0.0, 0.0, 0.0, 0.0, 100.0, 1328.0, 927.0, 296.0, 0.0, 17.0, 4.0, 378.0, 0.0
'2021-09-01 06:50', 100.0, 0.0, 0.0, 0.0, 0.0, 100.0, 1307.0, 949.0, 296.0, 0.0, 34.0, 4.0, 378.0, 0.0
'2021-09-01 07:00', 100.0, 0.0, 0.0, 0.0, 0.0, 100.0, 1309.0, 948.0, 296.0, 0.0, 51.0, 4.0, 378.0, 0.0
'2021-09-01 07:10', 97.0, 0.0, 0.0, 0.0, 0.0, 96.0, 1272.0, 987.0, 296.0, 90.0, 13.0, 4.0, 378.0, 1.0
'2021-09-01 07:20', 99.0, 0.0, 0.0, 0.0, 0.0, 99.0, 1276.0, 983.0, 296.0, 100.0, 23.0, 4.0, 378.0, 1.0
'2021-09-01 07:30', 98.0, 0.0, 0.0, 0.0, 0.0, 98.0, 1251.0, 1009.0, 296.0, 100.0, 40.0, 4.0, 378.0, 1.0
'2021-09-01 07:40', 98.0, 0.0, 0.0, 0.0, 0.0, 98.0, 1233.0, 1028.0, 296.0, 100.0, 56.0, 4.0, 378.0, 1.0
'2021-09-01 07:50', 95.0, 0.0, 0.0, 0.0, 0.0, 95.0, 1224.0, 1038.0, 296.0, 100.0, 72.0, 4.0, 378.0, 1.0
'2021-09-01 08:00', 96.0, 0.0, 0.0, 0.0, 0.0, 96.0, 1198.0, 1065.0, 296.0, 100.0, 88.0, 4.0, 378.0, 1.0
'2021-09-01 08:10', 87.0, 76.0, 0.0, 0.0, 0.0, 164.0, 1197.0, 1066.0, 296.0, 163.0, 22.0, 4.0, 378.0, 2.0
