dateTime,EDS_Pci_1,EDS_Pci_2,EDS_Pci_fq,EDS_Pci_fs,  EDS_ADtur, EDS_ADcer,EDS_DHlad, EDS_Pdg,EDS_Avyr_fs, EDS_Odtok,EDS_HHlad,EDS_Ndg_fs
'2021-09-01 00:10', -311.0, 0.0, 0.0, -311.0, 281.0, 4000.0, 822.0, -311.0, -55.0, 4.0, 1328.0, -1.0
'2021-09-01 00:20', -312.0, 0.0, 0.0, -312.0, 322.0, 3949.0, 822.0, -310.0, -75.0, 4.0, 1329.0, -1.0
'2021-09-01 00:30', -312.0, 0.0, 0.0, -312.0, 364.0, 3896.0, 821.0, -310.0, -127.0, 4.0, 1329.0, -1.0
'2021-09-01 00:40', -312.0, 0.0, 0.0, -312.0, 406.0, 3842.0, 821.0, -310.0, -179.0, 4.0, 1329.0, -1.0
'2021-09-01 00:50', -312.0, 0.0, 0.0, -312.0, 449.0, 3788.0, 821.0, -310.0, -231.0, 4.0, 1330.0, -1.0
'2021-09-01 01:00', -312.0, 0.0, 0.0, -312.0, 487.0, 3739.0, 821.0, -310.0, -283.0, 4.0, 1330.0, -1.0
'2021-09-01 01:10', -310.0, -257.0, 0.0, -567.0, 542.0, 3670.0, 820.0, -585.0, -73.0, 4.0, 1330.0, -2.0
'2021-09-01 01:20', -310.0, -313.0, 0.0, -623.0, 624.0, 3567.0, 820.0, -615.0, -145.0, 4.0, 1331.0, -2.0
'2021-09-01 01:30', -310.0, -313.0, 0.0, -623.0, 707.0, 3461.0, 820.0, -615.0, -249.0, 4.0, 1332.0, -2.0
'2021-09-01 01:40', -309.0, -312.0, 0.0, -621.0, 791.0, 3355.0, 819.0, -615.0, -352.0, 4.0, 1332.0, -2.0
'2021-09-01 01:50', -310.0, -312.0, 0.0, -622.0, 874.0, 3250.0, 819.0, -615.0, -456.0, 4.0, 1333.0, -2.0
'2021-09-01 02:00', -309.0, -312.0, 0.0, -621.0, 955.0, 3147.0, 818.0, -615.0, -559.0, 4.0, 1334.0, -2.0
'2021-09-01 02:10', -308.0, -311.0, 0.0, -619.0, 1040.0, 3040.0, 818.0, -512.0, -108.0, 4.0, 1334.0, -2.0
'2021-09-01 02:20', -308.0, -311.0, 0.0, -619.0, 1122.0, 2936.0, 817.0, -500.0, -149.0, 4.0, 1335.0, -2.0
'2021-09-01 02:30', -308.0, -311.0, 0.0, -619.0, 1202.0, 2835.0, 817.0, -500.0, -253.0, 4.0, 1335.0, -2.0
'2021-09-01 02:40', -307.0, -186.0, 0.0, -493.0, 1282.0, 2734.0, 817.0, -500.0, -351.0, 4.0, 1336.0, -2.0
'2021-09-01 02:50', -307.0, 0.0, 0.0, -307.0, 1331.0, 2672.0, 816.0, -500.0, -410.0, 4.0, 1336.0, -2.0
'2021-09-01 03:00', -307.0, 0.0, 0.0, -307.0, 1369.0, 2624.0, 816.0, -500.0, -461.0, 4.0, 1337.0, -2.0
'2021-09-01 03:10', -307.0, 0.0, 0.0, -307.0, 1409.0, 2573.0, 816.0, -604.0, -72.0, 4.0, 1337.0, -2.0
'2021-09-01 03:20', -307.0, -127.0, 0.0, -433.0, 1450.0, 2521.0, 816.0, -615.0, -78.0, 4.0, 1337.0, -2.0
'2021-09-01 03:30', -306.0, -309.0, 0.0, -616.0, 1524.0, 2428.0, 815.0, -615.0, -171.0, 4.0, 1338.0, -2.0
'2021-09-01 03:40', -306.0, -308.0, 0.0, -614.0, 1601.0, 2328.0, 815.0, -615.0, -273.0, 4.0, 1338.0, -2.0
'2021-09-01 03:50', -305.0, -308.0, 0.0, -613.0, 1681.0, 2229.0, 814.0, -615.0, -376.0, 4.0, 1339.0, -2.0
'2021-09-01 04:00', -305.0, -307.0, 0.0, -613.0, 1760.0, 2129.0, 814.0, -615.0, -478.0, 4.0, 1339.0, -2.0
'2021-09-01 04:10', -305.0, -307.0, 0.0, -612.0, 1843.0, 2024.0, 813.0, -611.0, -99.0, 3.0, 1340.0, -2.0
'2021-09-01 04:20', -304.0, -307.0, 0.0, -611.0, 1922.0, 1925.0, 813.0, -610.0, -148.0, 3.0, 1340.0, -2.0
'2021-09-01 04:30', -303.0, -306.0, 0.0, -609.0, 2000.0, 1826.0, 812.0, -610.0, -249.0, 5.0, 1341.0, -2.0
'2021-09-01 04:40', -303.0, -305.0, 0.0, -608.0, 2078.0, 1727.0, 812.0, -610.0, -351.0, 6.0, 1341.0, -2.0
'2021-09-01 04:50', -303.0, -305.0, 0.0, -608.0, 2157.0, 1626.0, 811.0, -610.0, -452.0, 6.0, 1342.0, -2.0
'2021-09-01 05:00', -302.0, -91.0, 0.0, -394.0, 2227.0, 1539.0, 811.0, -610.0, -542.0, 6.0, 1342.0, -2.0
'2021-09-01 05:10', -30.0, 0.0, 0.0, 0.0, 2255.0, 1502.0, 810.0, -61.0, -57.0, 6.0, 1342.0, -0.0
'2021-09-01 05:20', 0.0, 0.0, 0.0, 0.0, 2254.0, 1505.0, 810.0, 0.0, 0.0, 6.0, 1342.0, 0.0
'2021-09-01 05:30', 0.0, 0.0, 0.0, 0.0, 2253.0, 1506.0, 810.0, 0.0, 0.0, 6.0, 1342.0, 0.0
'2021-09-01 05:40', 125.0, 0.0, 0.0, 125.0, 2248.0, 1512.0, 810.0, 0.0, 6.0, 6.0, 1342.0, 0.0
'2021-09-01 05:50', 314.0, 0.0, 0.0, 314.0, 2204.0, 1567.0, 811.0, 0.0, 47.0, 6.0, 1342.0, 0.0
'2021-09-01 06:00', 315.0, 0.0, 0.0, 315.0, 2153.0, 1632.0, 811.0, 0.0, 100.0, 6.0, 1342.0, 0.0
'2021-09-01 06:10', 225.0, 0.0, 0.0, 225.0, 2107.0, 1689.0, 811.0, 171.0, 30.0, 6.0, 1341.0, 1.0
'2021-09-01 06:20', 303.0, 0.0, 0.0, 303.0, 2064.0, 1744.0, 812.0, 190.0, 59.0, 6.0, 1341.0, 1.0
